name,price_inr,specifications,category,primary_image,gallery_pages,source_pdf
Balloon Ring,2000,6x6,Fabrication / Rings,Page 1,"1,2",Fabrication.pdf
Backdrop Stand,2500,5x10 adjustable,Fabrication / Backdrop Stands,Page 3,"3,4",Fabrication.pdf
Bottom Pipe Single Layer,3000,5–10 ft adjustable height; 5–10 ft adjustable width,Fabrication / Frames,Page 5,5,Fabrication.pdf
Middle Pipe Single Layer,3000,5–10 ft adjustable height; 5–10 ft adjustable width; middle section 4 ft,Fabrication / Frames,Page 6,6,Fabrication.pdf
U Shape and Square Combo,5500,Side sections 6 ft high x 3 ft wide; center 7 ft high x 4 ft wide,Fabrication / Frames,Page 7,7,Fabrication.pdf
Arch Ring,2500,6x6,Fabrication / Rings,Page 8,"8,9",Fabrication.pdf
Light Ring,5500,7x7 ft,Fabrication / Rings,Page 10,10,Fabrication.pdf
Double Arch Ring,3500,6x6,Fabrication / Rings,Page 11,"11,12",Fabrication.pdf
Double Round Ring,3500,6x6,Fabrication / Rings,Page 13,"13,14",Fabrication.pdf
Heart Shape Ring,2500,6x6,Fabrication / Rings,Page 15,"15,16",Fabrication.pdf
Double Heart Shape Ring,4000,6x6,Fabrication / Rings,Page 17,"17,18",Fabrication.pdf
Hexagonal Ring,2500,6x6,Fabrication / Rings,Page 19,"19,20",Fabrication.pdf
Double Hexagonal Ring,3500,6x6,Fabrication / Rings,Page 21,"21,22",Fabrication.pdf
Moon Ring,4800,6x6,Fabrication / Rings,Page 23,"23,24",Fabrication.pdf
Moon Ring 3 Ft,1700,3 ft,Fabrication / Rings,Page 25,25,Fabrication.pdf
Moon Ring 4 Ft,2000,4 ft,Fabrication / Rings,Page 25,25,Fabrication.pdf
Double Layer,3500,Minimum 5x5 ft; maximum 10x10 ft,Fabrication / Frames,Page 26,26,Fabrication.pdf
Square Canopy,5000,5x5–10x10 adjustable,Fabrication / Canopies,Page 27,"27,28",Fabrication.pdf
Double Pipe Square Canopy,7000,5–10 ft adjustable width; 5–10 ft adjustable height; inner height 4 ft,Fabrication / Canopies,Page 29,29,Fabrication.pdf
Haldi Setup,3500,5x8,Fabrication / Event Setups,Page 30,"30,31",Fabrication.pdf
Flexi Frame,6000,"Size text in PDF appears as: 323-M-3ch 35,30 270m (unclear)",Fabrication / Frames,Page 32,"32,33",Fabrication.pdf
Italian Backdrop,2000,"6x3, 7x4, 6x3 (as printed in PDF)",Fabrication / Backdrops,Page 34,34,Fabrication.pdf
Single U Shape Adjustable,2500,6 ft width; 6–9 ft adjustable height,Fabrication / Frames,Page 35,35,Fabrication.pdf
Double Line U Shape Adjustable,3500,6 ft width; 6–9 ft adjustable height,Fabrication / Frames,Page 36,36,Fabrication.pdf
3 Layer Frame,5000,8 ft height; 4 ft width,Fabrication / Frames,Page 37,37,Fabrication.pdf
Italic Backdrop Set of 3,4000,Side widths 3 ft each; center width 4 ft; side heights 6 ft each; center height 7 ft,Fabrication / Backdrops,Page 38,38,Fabrication.pdf
Square 3 pc Set,4000,"Widths 3 ft, 4 ft, 3 ft; heights 6 ft, 7 ft, 6 ft",Fabrication / Frames,Page 39,39,Fabrication.pdf
Peta Frame,6000,Outer side sections 6 ft wide x 6 ft high; inner sections 2 ft wide x 7 ft high; center 4 ft wide x 7 ft high,Fabrication / Frames,Page 40,40,Fabrication.pdf
Entry Arch,1100,7.5 ft high; price is per piece,Fabrication / Arches,Page 41,41,Fabrication.pdf
Cylinder Cake Table Brown,2500,Diameters 30/35/40 cm; heights 98/111/128 cm; corresponding heights also shown as 2.3/2.8/3 ft,Tables / Cake Tables,Page 42,42,Fabrication.pdf
Square Cake Table,3000,Set of 3 shown; dimensions not stated in PDF,Tables / Cake Tables,Page 43,43,Fabrication.pdf
Welcome Standy Metal,1350,Metal standy; dimensions not stated in PDF,Stands,Page 44,44,Fabrication.pdf
Wooden Standy,999,150 cm; 12 pcs carton; total height approx 4.9 ft; lower height approx 3.8 ft; other approximate dimensions shown in image,Stands,Page 45,45,Fabrication.pdf
Foldable Trust,3500,1 ft width; 5 ft height,Stands,Page 46,46,Fabrication.pdf
Adjustable Cutouts Stand,2000,5–10 ft adjustable; 2 pcs,Stands,Page 47,47,Fabrication.pdf
Balloon Stand,800,3 ft; 2 pcs,Stands,Page 48,48,Fabrication.pdf
Jali Single Layer Stand,,Height adjustable up to 10 ft; width 8 ft; mesh; dismantles in 2 parts; fully dismantlable setup,Jali / Stands,Page 49,49,Fabrication.pdf
